original,corrected
''lime mope,lime mope
(ceme,ceme
.,0
0,
00,0
000,0
00000,0
013,
1,
100th truc,
11-VA,
11111,
12 fe,
12 Pa,
12 PA,12 Pa
12 PASS VA,
12 passage,
12 PASSENG,
12' o,12 o
15 pa,15 Pa
15 Pa,
16m,
16M,16m
17,
18 WEELER,18 WHEELER
18 Wh,18 WHEELER
18 WH,18 WHEELER
18 wheel,18 WHEELER
18 WHEELER,
1S,
2 DOO,
2 DR,
2 dr sedan,
2 HOR,
2 TON,
2 WHE,2 WHEELER
2- to,
2000,
2003,
2015,
250-3,
26 ft,
2dr,
2YDSWHEELL,
3 Whe,WHEELER
3 WHE,WHEELER
3-Door,
3-Whe,WHEELER
315 e,
35 FT,
3DC-,
4 dr sedan,
4 RUN,
4 wheeler,4 WHEELER
430,
4D,
4door,
4DS,
4dsd,
4whee,4 WHEELER
50 CC Moto,50CC MOTO
50cc mini,50CC MINI
50cc Scoot,50CC SCOOT
50CC SCOOT,
52? t,
5X8 T,
600AJ,
7,
72000,
7532433,
80,
8X20,
985,
994,
997,
999,
9999,
?omme,
A bulance,Ambulance
"A,n",Ambulance
A-ONE,Ambulance
ACCEE,
Accelerator Defective,
acces,
Acces,
ACCES,
access a r,
Access A R,
access-a-r,
AERIAL LIF,
Aggressive Driving/Road Rage,
Alcohol Involvement,
All-Terrain Vehicle,
ALUMI,
AM/TR,
AMAZON SPR,Amazon tru
amazon tru,Amazon tru
Amazon tru,
AMAZON VAN,Amazon tru
amb,Ambulance
Amb,Ambulance
AMB,Ambulance
Ambiance,Ambulance
AMBLUANCE,Ambulance
ambu,Ambulance
Ambu,Ambulance
AMBU,Ambulance
AMBUKANCE,Ambulance
ambul,Ambulance
Ambul,Ambulance
AMbul,Ambulance
AMBUL,Ambulance
AMBULACE,Ambulance
AMBULAMCE,Ambulance
ambulance,Ambulance
Ambulance,Ambulance
AMBULANCE,Ambulance
AMBULANCE`,Ambulance
AMBULANE,Ambulance
AMBULANVE,Ambulance
AMBULCANCE,Ambulance
Ambulence,Ambulance
AMBULENCE,Ambulance
ambulette,Ambulance
AMBULETTE,Ambulance
AMUBL,Ambulance
AMUBULANCE,Ambulance
AMULA,Ambulance
anbul,Ambulance
Animals Action,
AP,
APP,
APP C,
APPOR,
APURP,
ARCIMOTO,
ARIEL,
ARMOR,
armored tr,
Armored Truck,
ARMY,
ASPHA,
ASPHALT RO,
Attac,
atv p,
AUTOTRLR T,
B5-44,
B55 excava,
back,BACKH
Back,BACKH
BACK,BACKH
back ho,BACKH
BACK HOE,BACKH
backh,BACKH
Backh,BACKH
BACKH,BACKH
backhoe,Backhoe
Backhoe,
Backhoe Lo,BACKHOE LO
BACKHOE LO,
backhoe re,
Backing Unsafely,
Barri,
basic psd,
bay crane,
bed,
BED T,
Beverage Truck,
BEYOND SCO,
BICYC,BICYCLE
BICYCLE,
big r,BICYCLE
Bike,BICYCLE
BK,BICYCLE
black,
BLACK,
black mope,
BLOCK,
BLUE,
bmw,BMW
bmw moped,BMW moped
boat,BOAT
BOAT,BOAT
BOB C,BOBCAT
BOB CAT,BOBCAT
bobca,BOBCAT
BOBCA,BOBCAT
Bobcat,BOBCAT
BOBCAT,BOBCAT
Bobcat 216,BOBCAT
BOBCAT FOR,BOBCAT
bobcat sno,BOBCAT
BOBCAT/FOR,BOBCAT
bobct,BOBCAT
boom,
Boom,
BOOM,
BOOM 60FT,
boom crane,
boom lift,
BOOM LIFT,
BOOM MOPED,
BOOML,
box,
Box,
BOX,
Box Car,
BOX CAR,
BOX H,
box p,
box t,
Box t,
Box T,
BOX T,
box truck,
Box truck,
Box Truck,
BOX TRUCK,
BOX VAN,
boxtr,
BoxTr,
BOXTR,
BOXTRUCK,
Brakes Defective,
Broom,
BS,
bsd,
BTM,
BUCKE,
Bucket tru,
Bucketload,
Budge,
Budget tru,
BULDOZER,
Bulk Agriculture,
Bull dozer,
BULLD,
BULLDOZER,
BUMP,
bus,
Bus,
BUs,
BUS,
bus y,
BUSS,
Busv,
C-1,
C0MME,
C1,
C3,
cab,
CABIN,
CADET,
CAMP,
CAMPE,
camper,
Can,
CAN,
car c,
Car C,
CAR T,
Car traile,
Car Traile,
CAR TRAILE,
CARAVAN,
cargo,
Cargo,
CARGO,
Cargo van,
Cargo Van,
